path,description,colorSpace,component0,component1,component2,alpha,hex,extensions
color.border.warning.$root,Border color for elements conveying caution or potential issues that require attention,{$ref:#/color/palette/yellow/520/$value/colorSpace},{$ref:#/color/palette/yellow/520/$value/components/0},{$ref:#/color/palette/yellow/520/$value/components/1},{$ref:#/color/palette/yellow/520/$value/components/2},,,
color.border.warning.disabled,Border color to use when the element using the warning border is in a disabled state,{$ref:#/color/border/warning/$root/$value/colorSpace},{$ref:#/number/lightness/border/disabled/onLight/$value},{$ref:#/color/border/warning/$root/$value/components/1},{$ref:#/color/border/warning/$root/$value/components/2},,,
color.border.error.$root,Border color for elements indicating errors or critical issues that require immediate action,{$ref:#/color/palette/red/520/$value/colorSpace},{$ref:#/color/palette/red/520/$value/components/0},{$ref:#/color/palette/red/520/$value/components/1},{$ref:#/color/palette/red/520/$value/components/2},,,
color.border.error.disabled,Border color to use when the element using the error border is in a disabled state,{$ref:#/color/border/error/$root/$value/colorSpace},{$ref:#/number/lightness/border/disabled/onLight/$value},{$ref:#/color/border/error/$root/$value/components/1},{$ref:#/color/border/error/$root/$value/components/2},,,
color.border.success.$root,Border color for elements indicating successful completion or positive outcomes,{$ref:#/color/palette/green/520/$value/colorSpace},{$ref:#/color/palette/green/520/$value/components/0},{$ref:#/color/palette/green/520/$value/components/1},{$ref:#/color/palette/green/520/$value/components/2},,,
color.border.success.disabled,Border color to use when the element using the success border is in a disabled state,{$ref:#/color/border/success/$root/$value/colorSpace},{$ref:#/number/lightness/border/disabled/onLight/$value},{$ref:#/color/border/success/$root/$value/components/1},{$ref:#/color/border/success/$root/$value/components/2},,,
color.border.branded.$root,Border color for elements that need to reflect the brand identity,{$ref:#/color/palette/orange/520/$value/colorSpace},{$ref:#/color/palette/orange/520/$value/components/0},{$ref:#/color/palette/orange/520/$value/components/1},{$ref:#/color/palette/orange/520/$value/components/2},,,
color.border.branded.disabled,Border color to use when the element using the branded border is in a disabled state,{$ref:#/color/border/branded/$root/$value/colorSpace},{$ref:#/number/lightness/border/disabled/onLight/$value},{$ref:#/color/border/branded/$root/$value/components/1},{$ref:#/color/border/branded/$root/$value/components/2},,,
color.border.muted.$root,Subtle border color for low-emphasis elements such as dividers and decorative borders that don't need to meet contrast requirements,{$ref:#/color/palette/gray/100/$value/colorSpace},{$ref:#/color/palette/gray/100/$value/components/0},{$ref:#/color/palette/gray/100/$value/components/1},{$ref:#/color/palette/gray/100/$value/components/2},,,
color.border.muted.disabled,Border color to use when the element using the muted border is in a disabled state,{$ref:#/color/border/muted/$root/$value/colorSpace},{$ref:#/number/lightness/border/muted/disabled/onLight/$value},{$ref:#/color/border/muted/$root/$value/components/1},{$ref:#/color/border/muted/$root/$value/components/2},,,
color.border.highlighted.$root,"High-contrast border color for elements requiring strong visual emphasis, such as indicating the active state in tabs or navigation items",{$ref:#/color/palette/black/$value/colorSpace},{$ref:#/color/palette/black/$value/components/0},{$ref:#/color/palette/black/$value/components/1},{$ref:#/color/palette/black/$value/components/2},,,
color.border.highlighted.disabled,Border color to use when the element using the highlighted border is in a disabled state,{$ref:#/color/border/highlighted/$root/$value/colorSpace},{$ref:#/number/lightness/border/highlighted/disabled/onLight/$value},{$ref:#/color/border/highlighted/$root/$value/components/1},{$ref:#/color/border/highlighted/$root/$value/components/2},,,
color.border.category.$root,"Border color for elements using color.foreground.secondary.category. Use for user-generated categories, tags, or chips where a custom hue is needed. Override number.hue.category on the element to set the hue while maintaining accessibility through consistent lightness and saturation.",{$ref:#/color/palette/gray/520/$value/colorSpace},{$ref:#/color/palette/gray/520/$value/components/0},{$ref:#/color/palette/gray/520/$value/components/1},{$ref:#/number/hue/category/$value},,,
color.border.category.disabled,Border color for category elements in a disabled state,{$ref:#/color/border/category/$root/$value/colorSpace},{$ref:#/number/lightness/border/disabled/onLight/$value},{$ref:#/color/border/category/$root/$value/components/1},{$ref:#/color/border/category/$root/$value/components/2},,,
color.brand.primary,Primary brand color representing the core visual identity of Canonical and Ubuntu,{color.palette.orange.398},,,,,,
color.focusRing.$root,"Default focus ring color for keyboard navigation, ensuring accessibility compliance",{color.palette.blue.520},,,,,,
color.focusRing.warning,Focus ring color for elements in a warning state,{color.border.warning.$root},,,,,,
color.focusRing.error,Focus ring color for elements in an error state,{color.border.error.$root},,,,,,
color.focusRing.success,Focus ring color for elements in a success state,{color.border.success.$root},,,,,,
color.foreground.ghost.$root,Fill color for ghost-style interactive elements such as buttons that have the same color as the background in their default state,{$ref:#/color/background/$root/$value/colorSpace},{$ref:#/color/background/$root/$value/components/0},{$ref:#/color/background/$root/$value/components/1},{$ref:#/color/background/$root/$value/components/2},,,
color.foreground.ghost.hover,Fill color to use when the element using the ghost foreground is in a hover state,{$ref:#/color/foreground/ghost/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/ghost/hover/onLight/$value},{$ref:#/color/foreground/ghost/$root/$value/components/1},{$ref:#/color/foreground/ghost/$root/$value/components/2},,,
color.foreground.ghost.active,Fill color to use when the element using the ghost foreground is in an active state,{$ref:#/color/foreground/ghost/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/ghost/active/onLight/$value},{$ref:#/color/foreground/ghost/$root/$value/components/1},{$ref:#/color/foreground/ghost/$root/$value/components/2},,,
color.foreground.ghost.disabled,Fill color to use when the element using the ghost foreground is in a disabled state,{$ref:#/color/foreground/ghost/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/ghost/disabled/onLight/$value},{$ref:#/color/foreground/ghost/$root/$value/components/1},{$ref:#/color/foreground/ghost/$root/$value/components/2},,,
color.foreground.ghost.layer2.$root,Fill color for ghost-style interactive elements placed on layer 2 backgrounds,{$ref:#/color/background/layer2/$value/colorSpace},{$ref:#/color/background/layer2/$value/components/0},{$ref:#/color/background/layer2/$value/components/1},{$ref:#/color/background/layer2/$value/components/2},,,
color.foreground.ghost.layer2.hover,Fill color to use when the element using the ghost layer 2 foreground is in a hover state,{$ref:#/color/foreground/ghost/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/ghost/hover/onLayer2/onLight/$value},{$ref:#/color/foreground/ghost/layer2/$root/$value/components/1},{$ref:#/color/foreground/ghost/layer2/$root/$value/components/2},,,
color.foreground.ghost.layer2.active,Fill color to use when the element using the ghost layer 2 foreground is in an active state,{$ref:#/color/foreground/ghost/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/ghost/active/onLayer2/onLight/$value},{$ref:#/color/foreground/ghost/layer2/$root/$value/components/1},{$ref:#/color/foreground/ghost/layer2/$root/$value/components/2},,,
color.foreground.ghost.layer2.disabled,Fill color to use when the element using the ghost layer 2 foreground is in a disabled state,{$ref:#/color/foreground/ghost/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/ghost/disabled/onLayer2/onLight/$value},{$ref:#/color/foreground/ghost/layer2/$root/$value/components/1},{$ref:#/color/foreground/ghost/layer2/$root/$value/components/2},,,
color.foreground.ghost.layer3.$root,Fill color for ghost-style interactive elements placed on layer 3 backgrounds,{$ref:#/color/background/layer3/$value/colorSpace},{$ref:#/color/background/layer3/$value/components/0},{$ref:#/color/background/layer3/$value/components/1},{$ref:#/color/background/layer3/$value/components/2},,,
color.foreground.ghost.layer3.hover,Fill color to use when the element using the ghost layer 3 foreground is in a hover state,{$ref:#/color/foreground/ghost/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/ghost/hover/onLayer3/onLight/$value},{$ref:#/color/foreground/ghost/layer3/$root/$value/components/1},{$ref:#/color/foreground/ghost/layer3/$root/$value/components/2},,,
color.foreground.ghost.layer3.active,Fill color to use when the element using the ghost layer 3 foreground is in an active state,{$ref:#/color/foreground/ghost/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/ghost/active/onLayer3/onLight/$value},{$ref:#/color/foreground/ghost/layer3/$root/$value/components/1},{$ref:#/color/foreground/ghost/layer3/$root/$value/components/2},,,
color.foreground.ghost.layer3.disabled,Fill color to use when the element using the ghost layer 3 foreground is in a disabled state,{$ref:#/color/foreground/ghost/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/ghost/disabled/onLayer3/onLight/$value},{$ref:#/color/foreground/ghost/layer3/$root/$value/components/1},{$ref:#/color/foreground/ghost/layer3/$root/$value/components/2},,,
color.foreground.navigation.primary.$root,Fill color for primary navigation elements such as the main navigation bar,{$ref:#/color/background/layer2/$value/colorSpace},{$ref:#/color/background/layer2/$value/components/0},{$ref:#/color/background/layer2/$value/components/1},{$ref:#/color/background/layer2/$value/components/2},,,
color.foreground.navigation.primary.hover,Fill color to use when the element using the navigation primary foreground is in a hover state,{$ref:#/color/foreground/navigation/primary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/primary/hover/onLight/$value},{$ref:#/color/foreground/navigation/primary/$root/$value/components/1},{$ref:#/color/foreground/navigation/primary/$root/$value/components/2},,,
color.foreground.navigation.primary.active,Fill color to use when the element using the navigation primary foreground is in an active state,{$ref:#/color/foreground/navigation/primary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/primary/active/onLight/$value},{$ref:#/color/foreground/navigation/primary/$root/$value/components/1},{$ref:#/color/foreground/navigation/primary/$root/$value/components/2},,,
color.foreground.navigation.primary.disabled,Fill color to use when the element using the navigation primary foreground is in a disabled state,{$ref:#/color/foreground/navigation/primary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/primary/disabled/onLight/$value},{$ref:#/color/foreground/navigation/primary/$root/$value/components/1},{$ref:#/color/foreground/navigation/primary/$root/$value/components/2},,,
color.foreground.navigation.primary.layer2.$root,Fill color for primary navigation elements placed on layer 2 backgrounds,{$ref:#/color/background/$root/$value/colorSpace},{$ref:#/color/background/$root/$value/components/0},{$ref:#/color/background/$root/$value/components/1},{$ref:#/color/background/$root/$value/components/2},,,
color.foreground.navigation.primary.layer2.hover,Fill color to use when the element using the navigation primary layer 2 foreground is in a hover state,{$ref:#/color/foreground/navigation/primary/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/primary/hover/onLayer2/onLight/$value},{$ref:#/color/foreground/navigation/primary/layer2/$root/$value/components/1},{$ref:#/color/foreground/navigation/primary/layer2/$root/$value/components/2},,,
color.foreground.navigation.primary.layer2.active,Fill color to use when the element using the navigation primary layer 2 foreground is in an active state,{$ref:#/color/foreground/navigation/primary/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/primary/active/onLayer2/onLight/$value},{$ref:#/color/foreground/navigation/primary/layer2/$root/$value/components/1},{$ref:#/color/foreground/navigation/primary/layer2/$root/$value/components/2},,,
color.foreground.navigation.primary.layer2.disabled,Fill color to use when the element using the navigation primary layer 2 foreground is in a disabled state,{$ref:#/color/foreground/navigation/primary/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/primary/disabled/onLayer2/onLight/$value},{$ref:#/color/foreground/navigation/primary/layer2/$root/$value/components/1},{$ref:#/color/foreground/navigation/primary/layer2/$root/$value/components/2},,,
color.foreground.navigation.primary.layer3.$root,Fill color for primary navigation elements placed on layer 3 backgrounds,{$ref:#/color/background/layer2/$value/colorSpace},{$ref:#/color/background/layer2/$value/components/0},{$ref:#/color/background/layer2/$value/components/1},{$ref:#/color/background/layer2/$value/components/2},,,
color.foreground.navigation.primary.layer3.hover,Fill color to use when the element using the navigation primary layer 3 foreground is in a hover state,{$ref:#/color/foreground/navigation/primary/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/primary/hover/onLayer3/onLight/$value},{$ref:#/color/foreground/navigation/primary/layer3/$root/$value/components/1},{$ref:#/color/foreground/navigation/primary/layer3/$root/$value/components/2},,,
color.foreground.navigation.primary.layer3.active,Fill color to use when the element using the navigation primary layer 3 foreground is in an active state,{$ref:#/color/foreground/navigation/primary/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/primary/active/onLayer3/onLight/$value},{$ref:#/color/foreground/navigation/primary/layer3/$root/$value/components/1},{$ref:#/color/foreground/navigation/primary/layer3/$root/$value/components/2},,,
color.foreground.navigation.primary.layer3.disabled,Fill color to use when the element using the navigation primary layer 3 foreground is in a disabled state,{$ref:#/color/foreground/navigation/primary/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/primary/disabled/onLayer3/onLight/$value},{$ref:#/color/foreground/navigation/primary/layer3/$root/$value/components/1},{$ref:#/color/foreground/navigation/primary/layer3/$root/$value/components/2},,,
color.foreground.navigation.secondary.$root,Fill color for secondary navigation elements such as sub-navigation or sidebar menus,{$ref:#/color/palette/gray/40/$value/colorSpace},{$ref:#/color/palette/gray/40/$value/components/0},{$ref:#/color/palette/gray/40/$value/components/1},{$ref:#/color/palette/gray/40/$value/components/2},,,
color.foreground.navigation.secondary.hover,Fill color to use when the element using the navigation secondary foreground is in a hover state,{$ref:#/color/foreground/navigation/secondary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/secondary/hover/onLight/$value},{$ref:#/color/foreground/navigation/secondary/$root/$value/components/1},{$ref:#/color/foreground/navigation/secondary/$root/$value/components/2},,,
color.foreground.navigation.secondary.active,Fill color to use when the element using the navigation secondary foreground is in an active state,{$ref:#/color/foreground/navigation/secondary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/secondary/active/onLight/$value},{$ref:#/color/foreground/navigation/secondary/$root/$value/components/1},{$ref:#/color/foreground/navigation/secondary/$root/$value/components/2},,,
color.foreground.navigation.secondary.disabled,Fill color to use when the element using the navigation secondary foreground is in a disabled state,{$ref:#/color/foreground/navigation/secondary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/navigation/secondary/disabled/onLight/$value},{$ref:#/color/foreground/navigation/secondary/$root/$value/components/1},{$ref:#/color/foreground/navigation/secondary/$root/$value/components/2},,,
color.foreground.input.$root,"Fill color for input elements such as text fields, textareas, and select dropdowns",{$ref:#/color/palette/gray/20/$value/colorSpace},{$ref:#/color/palette/gray/20/$value/components/0},{$ref:#/color/palette/gray/20/$value/components/1},{$ref:#/color/palette/gray/20/$value/components/2},,,
color.foreground.input.hover,Fill color to use when the element using the input foreground is in a hover state,{$ref:#/color/foreground/input/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLight/$value},{$ref:#/color/foreground/input/$root/$value/components/1},{$ref:#/color/foreground/input/$root/$value/components/2},,,
color.foreground.input.active,Fill color to use when the element using the input foreground is in an active state,{$ref:#/color/foreground/input/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLight/$value},{$ref:#/color/foreground/input/$root/$value/components/1},{$ref:#/color/foreground/input/$root/$value/components/2},,,
color.foreground.input.disabled,Fill color to use when the element using the input foreground is in a disabled state,{$ref:#/color/foreground/input/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLight/$value},{$ref:#/color/foreground/input/$root/$value/components/1},{$ref:#/color/foreground/input/$root/$value/components/2},,,
color.foreground.input.layer2.$root,Fill color for input elements placed on layer 2 backgrounds,{$ref:#/color/palette/white/$value/colorSpace},{$ref:#/color/palette/white/$value/components/0},{$ref:#/color/palette/white/$value/components/1},{$ref:#/color/palette/white/$value/components/2},,,
color.foreground.input.layer2.hover,Fill color to use when the element using the input layer 2 foreground is in a hover state,{$ref:#/color/foreground/input/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLayer2/onLight/$value},{$ref:#/color/foreground/input/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/layer2/$root/$value/components/2},,,
color.foreground.input.layer2.active,Fill color to use when the element using the input layer 2 foreground is in an active state,{$ref:#/color/foreground/input/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLayer2/onLight/$value},{$ref:#/color/foreground/input/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/layer2/$root/$value/components/2},,,
color.foreground.input.layer2.disabled,Fill color to use when the element using the input layer 2 foreground is in a disabled state,{$ref:#/color/foreground/input/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLayer2/onLight/$value},{$ref:#/color/foreground/input/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/layer2/$root/$value/components/2},,,
color.foreground.input.layer3.$root,Fill color for input elements placed on layer 3 backgrounds,{$ref:#/color/palette/gray/20/$value/colorSpace},{$ref:#/color/palette/gray/20/$value/components/0},{$ref:#/color/palette/gray/20/$value/components/1},{$ref:#/color/palette/gray/20/$value/components/2},,,
color.foreground.input.layer3.hover,Fill color to use when the element using the input layer 3 foreground is in a hover state,{$ref:#/color/foreground/input/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLayer3/onLight/$value},{$ref:#/color/foreground/input/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/layer3/$root/$value/components/2},,,
color.foreground.input.layer3.active,Fill color to use when the element using the input layer 3 foreground is in an active state,{$ref:#/color/foreground/input/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLayer3/onLight/$value},{$ref:#/color/foreground/input/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/layer3/$root/$value/components/2},,,
color.foreground.input.layer3.disabled,Fill color to use when the element using the input layer 3 foreground is in a disabled state,{$ref:#/color/foreground/input/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLayer3/onLight/$value},{$ref:#/color/foreground/input/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/layer3/$root/$value/components/2},,,
color.foreground.input.warning.$root,Fill color for input elements in a warning validation state,{$ref:#/color/palette/yellow/20/$value/colorSpace},{$ref:#/color/palette/yellow/20/$value/components/0},{$ref:#/color/palette/yellow/20/$value/components/1},{$ref:#/color/palette/yellow/20/$value/components/2},,,
color.foreground.input.warning.hover,Fill color to use when the element using the warning input foreground is in a hover state,{$ref:#/color/foreground/input/warning/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLight/$value},{$ref:#/color/foreground/input/warning/$root/$value/components/1},{$ref:#/color/foreground/input/warning/$root/$value/components/2},,,
color.foreground.input.warning.active,Fill color to use when the element using the warning input foreground is in an active state,{$ref:#/color/foreground/input/warning/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLight/$value},{$ref:#/color/foreground/input/warning/$root/$value/components/1},{$ref:#/color/foreground/input/warning/$root/$value/components/2},,,
color.foreground.input.warning.disabled,Fill color to use when the element using the warning input foreground is in a disabled state,{$ref:#/color/foreground/input/warning/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLight/$value},{$ref:#/color/foreground/input/warning/$root/$value/components/1},{$ref:#/color/foreground/input/warning/$root/$value/components/2},,,
color.foreground.input.warning.layer2.$root,Fill color for input elements in a warning validation state placed on layer 2 backgrounds,{$ref:#/color/palette/yellow/40/$value/colorSpace},{$ref:#/color/palette/yellow/40/$value/components/0},{$ref:#/color/palette/yellow/40/$value/components/1},{$ref:#/color/palette/yellow/40/$value/components/2},,,
color.foreground.input.warning.layer2.hover,Fill color to use when the element using the warning input layer 2 foreground is in a hover state,{$ref:#/color/foreground/input/warning/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLayer2/onLight/$value},{$ref:#/color/foreground/input/warning/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/warning/layer2/$root/$value/components/2},,,
color.foreground.input.warning.layer2.active,Fill color to use when the element using the warning input layer 2 foreground is in an active state,{$ref:#/color/foreground/input/warning/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLayer2/onLight/$value},{$ref:#/color/foreground/input/warning/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/warning/layer2/$root/$value/components/2},,,
color.foreground.input.warning.layer2.disabled,Fill color to use when the element using the warning input layer 2 foreground is in a disabled state,{$ref:#/color/foreground/input/warning/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLayer2/onLight/$value},{$ref:#/color/foreground/input/warning/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/warning/layer2/$root/$value/components/2},,,
color.foreground.input.warning.layer3.$root,Fill color for input elements in a warning validation state placed on layer 3 backgrounds,{$ref:#/color/palette/yellow/20/$value/colorSpace},{$ref:#/color/palette/yellow/20/$value/components/0},{$ref:#/color/palette/yellow/20/$value/components/1},{$ref:#/color/palette/yellow/20/$value/components/2},,,
color.foreground.input.warning.layer3.hover,Fill color to use when the element using the warning input layer 3 foreground is in a hover state,{$ref:#/color/foreground/input/warning/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLayer3/onLight/$value},{$ref:#/color/foreground/input/warning/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/warning/layer3/$root/$value/components/2},,,
color.foreground.input.warning.layer3.active,Fill color to use when the element using the warning input layer 3 foreground is in an active state,{$ref:#/color/foreground/input/warning/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLayer3/onLight/$value},{$ref:#/color/foreground/input/warning/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/warning/layer3/$root/$value/components/2},,,
color.foreground.input.warning.layer3.disabled,Fill color to use when the element using the warning input layer 3 foreground is in a disabled state,{$ref:#/color/foreground/input/warning/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLayer3/onLight/$value},{$ref:#/color/foreground/input/warning/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/warning/layer3/$root/$value/components/2},,,
color.foreground.input.error.$root,Fill color for input elements in an error validation state,{$ref:#/color/palette/red/20/$value/colorSpace},{$ref:#/color/palette/red/20/$value/components/0},{$ref:#/color/palette/red/20/$value/components/1},{$ref:#/color/palette/red/20/$value/components/2},,,
color.foreground.input.error.hover,Fill color to use when the element using the error input foreground is in a hover state,{$ref:#/color/foreground/input/error/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLight/$value},{$ref:#/color/foreground/input/error/$root/$value/components/1},{$ref:#/color/foreground/input/error/$root/$value/components/2},,,
color.foreground.input.error.active,Fill color to use when the element using the error input foreground is in an active state,{$ref:#/color/foreground/input/error/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLight/$value},{$ref:#/color/foreground/input/error/$root/$value/components/1},{$ref:#/color/foreground/input/error/$root/$value/components/2},,,
color.foreground.input.error.disabled,Fill color to use when the element using the error input foreground is in a disabled state,{$ref:#/color/foreground/input/error/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLight/$value},{$ref:#/color/foreground/input/error/$root/$value/components/1},{$ref:#/color/foreground/input/error/$root/$value/components/2},,,
color.foreground.input.error.layer2.$root,Fill color for input elements in an error validation state placed on layer 2 backgrounds,{$ref:#/color/palette/red/40/$value/colorSpace},{$ref:#/color/palette/red/40/$value/components/0},{$ref:#/color/palette/red/40/$value/components/1},{$ref:#/color/palette/red/40/$value/components/2},,,
color.foreground.input.error.layer2.hover,Fill color to use when the element using the error input layer 2 foreground is in a hover state,{$ref:#/color/foreground/input/error/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLayer2/onLight/$value},{$ref:#/color/foreground/input/error/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/error/layer2/$root/$value/components/2},,,
color.foreground.input.error.layer2.active,Fill color to use when the element using the error input layer 2 foreground is in an active state,{$ref:#/color/foreground/input/error/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLayer2/onLight/$value},{$ref:#/color/foreground/input/error/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/error/layer2/$root/$value/components/2},,,
color.foreground.input.error.layer2.disabled,Fill color to use when the element using the error input layer 2 foreground is in a disabled state,{$ref:#/color/foreground/input/error/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLayer2/onLight/$value},{$ref:#/color/foreground/input/error/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/error/layer2/$root/$value/components/2},,,
color.foreground.input.error.layer3.$root,Fill color for input elements in an error validation state placed on layer 3 backgrounds,{$ref:#/color/palette/red/20/$value/colorSpace},{$ref:#/color/palette/red/20/$value/components/0},{$ref:#/color/palette/red/20/$value/components/1},{$ref:#/color/palette/red/20/$value/components/2},,,
color.foreground.input.error.layer3.hover,Fill color to use when the element using the error input layer 3 foreground is in a hover state,{$ref:#/color/foreground/input/error/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLayer3/onLight/$value},{$ref:#/color/foreground/input/error/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/error/layer3/$root/$value/components/2},,,
color.foreground.input.error.layer3.active,Fill color to use when the element using the error input layer 3 foreground is in an active state,{$ref:#/color/foreground/input/error/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLayer3/onLight/$value},{$ref:#/color/foreground/input/error/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/error/layer3/$root/$value/components/2},,,
color.foreground.input.error.layer3.disabled,Fill color to use when the element using the error input layer 3 foreground is in a disabled state,{$ref:#/color/foreground/input/error/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLayer3/onLight/$value},{$ref:#/color/foreground/input/error/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/error/layer3/$root/$value/components/2},,,
